Odds,Feature
0,4.206974753706116,ATEOUT
1,2.151813111734024,BMI
2,0.7899264877135029,RIDAGEYR
3,0.9651470207511197,CARRYOUT
4,0.8882881544993149,GROCERIES
5,0.9617104090406711,GRPSTR
6,0.895292198157841,INCOME1
7,0.8735609552497836,INCOME2
8,1.0476971956054735,INCOME3
9,0.9846545897657376,INCOME4
10,0.9864357046947684,INCOME5
11,0.9233973983396203,INCOME6
12,0.9390101995703213,INCOME7
13,0.9235217051460773,INCOME8
14,0.9175371108211277,INCOME9
15,0.9840456515231284,INCOME10
16,0.8433046946977026,INCOME11
17,1.0709930839322737,INCOME12
18,0.9556428826037789,DYSVWRK
19,1.0127653011143274,WALKBIKE
20,0.21521292830784206,DLYKCAL
21,1.5603497747771886,DLYCARB
22,0.8045017287705067,DLYSGR
23,4.534611093066069,DLYFAT
24,1.0058779135952074,DLYPRT
25,1.0749376301080038,DYSWLKBK
26,1.2500731753270138,MNWLKBK
27,0.6432650551811424,VREC
28,1.3345684829650837,DYSVREC
29,1.0374595405096698,MNVREC
30,1.4253594843076398,MREC
31,0.8017528935489049,DYSMREC
32,0.8195499538631875,MNMREC
33,0.9392431309992356,SDNTRY
34,0.9911841256859539,VWRK
35,0.753164926459479,MNVWRK
36,0.9325467608622803,MWRK
37,0.931261740520903,DYSMWRK
38,1.0383408832077745,MNMWRK
39,1.091617030384321,MXA
40,0.9722082280839468,WHT
41,0.9932313756006819,BLK
42,0.7899858291801813,ASN
43,1.083573663184764,HRSTV
44,1.0469568930129938,HRSCOMP
45,1.1299765697828834,SMHS
46,0.8918024201832584,HSGRAD
47,0.8671432645885278,SMCOL
48,0.8112053676366158,COLGRAD
49,0.8846860545023341,HISP
50,1.0890098322908446,FRGN
51,1.2428765653124705,GNDR
52,1.079311457706414,CTZN
53,1.0477830578510552,VET
54,1.1368395680698922,SEPERATED
55,1.0795288635739948,DIVORCED
56,1.089442886609835,PARTNER
57,0.963668758333665,WIDOWED
58,1.1106634610246036,MARRIED
59,0.6734788854530902,DLYMFAT
60,0.8998889528021068,DLYPFAT
61,0.7182869360181598,DLYSFAT
62,1.1264297412915516,DLYFBR
63,1.1456758427179512,DLYMAGN
64,1.5487661717925587,DLYSODI
65,0.7828446507292529,DLYIRON
66,1.0307944747231885,DLYZINC
67,0.9076029690267539,DLYCOPP
68,1.164575889647246,DLYCAFF
69,1.9841526354687913,DLYBCAR
70,1.041553004216334,DLYACAR
71,1.1638951383348102,DLYPHOS
72,0.3853672595086918,DLYVARA
73,2.1523637662295023,DLYRET
74,1.0130586706134064,DLYATOA
75,0.8635100771962492,DLYATOC
76,1.0542393108302963,DLYLYCO
77,0.8735763387833094,DLYLZ
78,1.042915442949963,DLYVB12
79,0.7305433118853838,DLYVB6
80,1.2632337896099977,DLYB12A
81,0.8969678790629269,DLYVC
82,0.9365734630417546,DLYVD
83,1.3062067162750315,DLYVB1
84,1.0503538600380244,DLYPOTA
85,1.1012811953722386,DLYNIAC
86,2.5210691514823016,DLYFDFE
87,0.7249804328474547,DLYVB2
88,1.3806967085118176,DLYCHL
89,0.9462582242613451,DLYALCO
90,0.41434761514423896,DLYFOLA
91,1.159792338183587,DLYCRYP
92,0.934117146447416,WHLMLK
93,0.9973685501224775,SLEEPHRS
94,1.2576414928189117,SLEEPPROB
95,1.1803340580749007,SLEEPDIS
