,Unnamed: 0,country,GDPper_cap,Adult_Population,Insufficiently_active,Percent_Obese,HDI,IHDI
90,123,Ghana,4400,19480000,15.6,12.2,0.579,0.391
91,125,Mauritania,4300,2986276,45.1,9.7,0.513,0.34700000000000003
92,127,Zambia,3900,11548794,20.5,8.9,0.579,0.373
93,128,Bangladesh,3900,111250884,26.8,3.6,0.579,0.41200000000000003
94,129,Cambodia,3700,10813230,10.3,3.2,0.563,0.436
95,130,Lesotho,3600,1508844,7.2,14.2,0.49700000000000005,0.32
96,131,Kyrgyzstan,3500,4084081,13.3,14.4,0.664,0.5820000000000001
97,134,Djibouti,3400,646539,31.1,9.6,0.473,0.31
98,135,Kenya,3400,33577227,19.2,7.0,0.555,0.391
99,137,Cameroon,3200,16250698,30.7,11.4,0.518,0.348
100,139,Tajikistan,3000,6027259,24.5,13.6,0.627,0.532
101,140,Vanuatu,2600,186630,8.4,35.4,0.597,0.494
102,141,Senegal,2600,10708643,25.0,9.8,0.494,0.331
103,142,Nepal,2500,19798457,4.1,3.3,0.5579999999999999,0.40700000000000003
104,143,Chad,2400,10066436,24.6,8.1,0.396,0.23800000000000002
105,144,Yemen,2400,19085984,31.1,17.2,0.48200000000000004,0.32
106,145,Mali,2300,12526962,23.7,6.8,0.442,0.293
107,146,Benin,2100,7550298,6.9,9.3,0.485,0.304
108,147,Uganda,2100,28958214,20.9,4.9,0.493,0.341
109,148,Rwanda,2000,8248000,15.3,4.0,0.498,0.33899999999999997
110,149,Solomon Islands,2000,413023,35.1,27.7,0.515,0.392
111,150,Zimbabwe,2000,11167603,22.4,10.5,0.516,0.369
112,151,Afghanistan,1900,24004123,31.1,2.9,0.479,0.327
113,152,Ethiopia,1900,70909245,18.9,4.0,0.44799999999999995,0.33
114,153,Haiti,1800,7418918,32.4,11.9,0.493,0.298
115,154,Burkina Faso,1700,12967049,18.4,6.3,0.402,0.267
116,155,Kiribati,1800,78638,41.1,40.6,0.588,0.39399999999999996
117,156,Sierra Leone,1700,5105652,14.2,7.6,0.42,0.262
118,160,Togo,1600,5268122,10.4,7.5,0.48700000000000004,0.332
119,161,Comoros,1500,549879,14.2,6.6,0.49700000000000005,0.27
120,162,Madagascar,1500,17275697,17.9,5.4,0.512,0.374
121,164,Guinea,1300,8591724,9.9,6.8,0.414,0.27
122,165,Mozambique,1200,20044264,5.8,5.3,0.418,0.28
123,166,Malawi,1100,12581093,7.5,5.3,0.47600000000000003,0.32799999999999996
124,167,Niger,1100,14510096,25.1,4.3,0.353,0.253
125,168,Liberia,900,3196876,27.5,6.6,0.42700000000000005,0.284
126,169,Burundi,800,7339884,20.9,2.6,0.40399999999999997,0.276
127,171,Central African Republic,700,3147674,12.0,5.1,0.35200000000000004,0.19899999999999998
