,Unnamed: 0,country,GDPper_cap,Insufficiently_active,Percent_Obese,HDI,Region_Africa,Region_Arab_States,Region_Asia_Pacific,Region_CIS,Region_Europe,Region_North_America,Region_Latin_America,Region_Unknown,"Globalisation Index, overall",Globalization_index,Urban_Population,Urbanization_Rate,Imports,Imports_
41,43,Latvia,25700,22.0,23.7,0.83,0,0,0,0,1,0,0,0,75.42,75.42,67.4,-0.67,13600000000.0,13600000000.0
42,44,Antigua and Barbuda,25200,32.4,30.9,0.7859999999999999,0,0,0,0,0,0,1,0,52.58,52.58,23.8,-0.95,482100000.0,482100000.0
43,45,Kazakhstan,25100,20.6,23.4,0.794,0,0,0,1,0,0,0,0,59.1,59.1,53.2,0.86,24500000000.0,24500000000.0
44,46,Turkey,24900,32.8,29.5,0.767,0,0,0,0,1,0,0,0,70.87,70.87,73.4,1.97,197800000000.0,197800000000.0
45,47,Bahamas,24600,43.0,36.2,0.792,0,0,0,0,0,0,1,0,52.36,52.36,82.9,1.53,2495000000.0,2495000000.0
46,48,Chile,24100,21.3,27.8,0.847,0,0,0,0,0,0,1,0,74.14,74.14,89.5,1.09,56860000000.0,56860000000.0
47,49,Panama,23000,32.4,26.8,0.7879999999999999,0,0,0,0,0,0,1,0,69.89,69.89,66.1,2.07,22080000000.0,22080000000.0
48,50,Croatia,22800,16.2,23.3,0.8270000000000001,0,0,0,0,1,0,0,0,79.04,79.04,59.0,0.11,19980000000.0,19980000000.0
49,51,Romania,22300,25.3,21.7,0.802,0,0,0,0,1,0,0,0,77.88,77.88,54.6,0.01,66450000000.0,66450000000.0
50,52,Uruguay,21500,31.7,26.7,0.795,0,0,0,0,0,0,1,0,70.98,70.98,95.3,0.53,9075000000.0,9075000000.0
51,53,Mauritius,20400,25.2,17.9,0.7809999999999999,1,0,0,0,0,0,0,0,69.6,69.6,39.7,-0.08,4355000000.0,4355000000.0
52,54,Bulgaria,20300,21.0,23.2,0.794,0,0,0,0,1,0,0,0,79.52,79.52,73.9,-0.31,28470000000.0,28470000000.0
53,55,Argentina,20000,39.2,26.3,0.8270000000000001,0,0,0,0,0,0,1,0,63.02,63.02,91.8,1.04,57230000000.0,57230000000.0
54,56,Gabon,19100,26.0,17.6,0.6970000000000001,1,0,0,0,0,0,0,0,53.19,53.19,87.2,2.7,3002000000.0,3002000000.0
55,57,Mexico,18900,26.0,28.1,0.762,0,0,0,0,0,0,1,0,70.46,70.46,79.2,1.57,372800000000.0,372800000000.0
56,58,Lebanon,18500,38.8,31.9,0.763,0,1,0,0,0,0,0,0,67.17,67.17,87.8,3.18,17980000000.0,17980000000.0
57,59,Belarus,18000,24.5,23.4,0.7959999999999999,0,0,0,1,0,0,0,0,59.15,59.15,76.7,0.05,25440000000.0,25440000000.0
58,60,Iraq,17900,49.3,23.8,0.649,0,1,0,0,0,0,0,0,39.06,39.06,69.5,3.01,43270000000.0,43270000000.0
