,country,Percent_Obese,GDPper_cap,Insufficiently_active,HDI,Region_Africa,Region_Arab_States,Region_Europe,Region_Asia_Pacific,Region_Latin_America,Region_CIS,Globalization_index,Urbanization_Rate,Urban_Population,Imports,log(Imports),log(Imports)*Asia,Asia*Urbanization,UrbanPop*ArabStates,Asia*Globalization,Urbanization*GDPpercap,Europe*GDPpercap,Education
141,Burkina Faso,6.3,1700,18.4,0.402,1,0,0,0,0,0,57.18,5.87,29.9,2872000000.0,21.77827448813239,0.0,0.0,0.0,0.0,43.663311321360084,0,0.25
142,Kiribati,40.6,1800,41.1,0.588,0,0,0,1,0,0,40.63,1.78,44.3,182200000.0,19.020615542790132,19.020615542790132,1.78,0.0,40.63,13.342064660113977,0,0.602
143,Sierra Leone,7.6,1700,14.2,0.42,1,0,0,0,0,0,47.65,2.75,39.9,1303000000.0,20.98793513508912,0.0,0.0,0.0,0.0,20.455554707621843,0,0.305
144,Gambia,10.9,1700,21.5,0.452,1,0,0,0,0,0,50.07,4.33,59.6,363900000.0,19.71238966258239,0.0,0.0,0.0,0.0,32.20820068509185,0,0.346
145,Togo,7.5,1600,10.4,0.487,1,0,0,0,0,0,56.12,3.83,40.0,1852000000.0,21.3395319731704,0.0,0.0,0.0,0.0,28.25681661851275,0,0.514
146,Comoros,6.6,1500,14.2,0.4970000000000001,0,1,0,0,0,0,36.85,2.67,28.3,191200000.0,19.068830558581574,0.0,0.0,28.3,0.0,19.526298433531103,0,0.45
147,Madagascar,5.4,1500,17.9,0.512,1,0,0,0,0,0,46.78,4.59,35.1,2717000000.0,21.72279416739062,0.0,0.0,0.0,0.0,33.567681576744484,0,0.458
148,Eritrea,4.1,1400,10.7,0.42,1,0,0,0,0,0,26.41,5.1,22.6,1022000000.0,20.745027328727925,0.0,0.0,0.0,0.0,36.945560329577084,0,0.228
149,Guinea,6.8,1300,9.9,0.414,1,0,0,0,0,0,47.1,3.82,37.2,2185000000.0,21.504881665493965,0.0,0.0,0.0,0.0,27.389856655977578,0,0.294
150,Mozambique,5.3,1200,5.8,0.418,1,0,0,0,0,0,48.99,3.27,32.2,5151000000.0,22.36245670752986,0.0,0.0,0.0,0.0,23.18455125298782,0,0.372
151,Malawi,5.3,1100,7.5,0.476,1,0,0,0,0,0,46.98,3.77,16.3,2578000000.0,21.670279741463407,0.0,0.0,0.0,0.0,26.40155677962496,0,0.44
152,Niger,4.3,1100,25.1,0.353,1,0,0,0,0,0,49.72,5.14,18.7,1916000000.0,21.37350551649508,0.0,0.0,0.0,0.0,35.99575645816241,0,0.198
153,Liberia,6.6,900,27.5,0.4270000000000001,1,0,0,0,0,0,56.05,3.36,49.7,1250000000.0,20.94640938826062,0.0,0.0,0.0,0.0,22.856046404769685,0,0.367
154,Burundi,2.6,800,20.9,0.404,1,0,0,0,0,0,38.95,5.66,12.1,683400000.0,20.342590897645465,0.0,0.0,0.0,0.0,37.83490237860047,0,0.37
155,Burundi,2.6,800,20.9,0.404,1,0,0,0,0,0,38.95,5.66,12.1,12.1,2.4932054526026954,0.0,0.0,0.0,0.0,37.83490237860047,0,0.37
156,Central African Republic,5.1,700,12.0,0.35200000000000004,1,0,0,0,0,0,35.58,2.59,40.0,375300000.0,19.74323626410525,0.0,0.0,0.0,0.0,16.967298067762417,0,0.318
