,Adult_Population,country,Obese_Adults,Percent_Obese,Population,Rank
127,4084081,Kyrgyzstan,588108,14.4,6045117,127
128,1508844,Lesotho,214256,14.2,2233339,128
129,6027259,Tajikistan,819707,13.6,8921343,129
130,21365353,Malaysia,2841592,13.3,31624264,130
131,369140,Cabo Verde,47988,13.0,546388,131
132,138043,Sao Tome and Principe,16979,12.3,204327,132
133,19480000,Ghana,2376560,12.2,28833629,133
134,7418918,Haiti,882851,11.9,10981229,134
135,16250698,Cameroon,1852580,11.4,24053727,135
136,128962792,Nigeria,14185907,11.0,190886311,136
137,3554163,Congo,390958,11.0,5260750,136
138,1419144,Gambia,154687,10.9,2100568,138
139,11167603,Zimbabwe,1172598,10.5,16529904,139
140,20122201,Angola,2052464,10.2,29784193,140
141,10708643,Senegal,1049447,9.8,15850567,141
142,2986276,Mauritania,289669,9.7,4420184,142
143,646539,Djibouti,62068,9.6,956985,143
144,7550298,Benin,702178,9.3,11175692,144
145,16413533,Cote d'Ivoire,1510045,9.2,24294750,145
146,11548794,Zambia,1027843,8.9,17094130,146
147,46641744,Thailand,3964548,8.5,69037513,147
148,10066436,Chad,815381,8.1,14899994,148
149,294785,Maldives,23288,7.9,436330,149
150,5105652,Sierra Leone,388030,7.6,7557212,150
151,5268122,Togo,395109,7.5,7797694,151
152,27384318,Sudan,2053824,7.5,40533330,151
153,8496152,South Sudan,637211,7.5,12575714,151
154,1257483,Guinea-Bissau,90539,7.2,1861283,154
155,38718649,United Republic of Tanzania,2749024,7.1,57310019,155
156,33577227,Kenya,2350406,7.0,49699862,156
157,952269953,China,65706627,6.9,1409517397,157
158,8591724,Guinea,584237,6.8,12717176,158
159,12526962,Mali,851833,6.8,18541980,158
160,545621,Bhutan,36557,6.7,807610,160
161,549879,Comoros,36292,6.6,813912,161
162,3196876,Liberia,210994,6.6,4731906,161
163,14104445,Sri Lanka,916789,6.5,20876917,163
164,12967049,Burkina Faso,816924,6.3,19193382,164
165,3856895,Singapore,239127,6.2,5708844,165
166,34443582,Republic of Korea,1997728,5.8,50982212,166
167,178352576,Indonesia,10166097,5.7,263991379,167
168,133103979,Pakistan,7187615,5.4,197015955,168
169,17275697,Madagascar,932888,5.4,25570895,168
170,20044264,Mozambique,1062346,5.3,29668834,170
171,12581093,Malawi,666798,5.3,18622104,170
172,70882662,Philippines,3615016,5.1,104918090,172
173,3147674,Central African Republic,160531,5.1,4659080,172
174,28958214,Uganda,1418953,4.9,42862958,174
175,904750094,India,44332755,4.9,1339180127,174
176,9960049,Somalia,458162,4.6,14742523,176
177,54953296,Democratic Republic of the Congo,2417945,4.4,81339988,177
178,14510096,Niger,623934,4.3,21477348,178
179,3424502,Eritrea,140405,4.1,5068831,179
180,70909245,Ethiopia,2836370,4.0,104957438,180
181,8248000,Rwanda,329920,4.0,12208407,180
182,64547364,Vietnam,2323705,3.6,95540800,182
183,111250884,Bangladesh,4005032,3.6,164669751,182
184,4633373,Lao People's Democratic Republic,162168,3.5,6858160,184
185,86128494,Japan,2842240,3.3,127484450,185
186,19798457,Nepal,653349,3.3,29304998,185
187,10813230,Cambodia,346023,3.2,16005373,187
188,24004123,Afghanistan,696120,2.9,35530081,188
189,36057183,Myanmar,1045658,2.9,53370609,188
190,7339884,Burundi,190837,2.6,10864245,190
191,17221696,North Korea,413321,2.4,25490965,191
192,875788,Timor-Leste,19267,2.2,1296311,192
