,country,GDPper_cap,Adult_Population,Percent_Obese,Population
141,Cameroon,3200,16250698,11.4,24053727
142,Federated States of Micronesia,3200,71306,37.2,105544
143,Sao Tome and Principe,3100,138043,12.3,204327
144,Tajikistan,3000,6027259,13.6,8921343
145,Vanuatu,2600,186630,35.4,276244
146,Senegal,2600,10708643,9.8,15850567
147,Nepal,2500,19798457,3.3,29304998
148,Chad,2400,10066436,8.1,14899994
149,Yemen,2400,19085984,17.2,28250420
150,Mali,2300,12526962,6.8,18541980
151,Benin,2100,7550298,9.3,11175692
152,Uganda,2100,28958214,4.9,42862958
153,Rwanda,2000,8248000,4.0,12208407
154,Solomon Islands,2000,413023,27.7,611343
155,Zimbabwe,2000,11167603,10.5,16529904
156,Afghanistan,1900,24004123,2.9,35530081
157,Ethiopia,1900,70909245,4.0,104957438
158,Haiti,1800,7418918,11.9,10981229
159,Burkina Faso,1700,12967049,6.3,19193382
160,Kiribati,1800,78638,40.6,116398
161,Sierra Leone,1700,5105652,7.6,7557212
162,South Sudan,1700,8496152,7.5,12575714
163,Guinea-Bissau,1700,1257483,7.2,1861283
164,North Korea,1700,17221696,2.4,25490965
165,Gambia,1700,1419144,10.9,2100568
166,Togo,1600,5268122,7.5,7797694
167,Comoros,1500,549879,6.6,813912
168,Madagascar,1500,17275697,5.4,25570895
169,Eritrea,1400,3424502,4.1,5068831
170,Guinea,1300,8591724,6.8,12717176
171,Mozambique,1200,20044264,5.3,29668834
172,Malawi,1100,12581093,5.3,18622104
173,Niger,1100,14510096,4.3,21477348
174,Liberia,900,3196876,6.6,4731906
175,Burundi,800,7339884,2.6,10864245
176,Democratic Republic of the Congo,800,54953296,4.4,81339988
177,Central African Republic,700,3147674,5.1,4659080
178,Somalia,400,9960049,4.6,14742523
