,country,GDPper_cap,Insufficiently_active,Percent_Obese,HDI,Region_Africa,Region_Arab States,Region_Asia & Pacific,Region_CIS,Region_Europe,Region_North America,Region_South/Latin America,Region_Unknown
78,South Africa,13200,46.9,26.8,0.6659999999999999,1,0,0,0,0,0,0,0
79,Peru,12900,32.4,21.1,0.74,0,0,0,0,0,0,1,0
80,Egypt,12600,32.3,28.9,0.691,0,1,0,0,0,0,0,0
81,Mongolia,12300,21.4,16.7,0.735,0,0,1,0,0,0,0,0
82,Jordan,12300,15.6,30.5,0.741,0,1,0,0,0,0,0,0
83,Sri Lanka,12300,23.8,6.5,0.7659999999999999,0,0,1,0,0,0,0,0
84,Cuba,11900,32.4,25.2,0.775,0,0,0,0,0,0,1,0
85,Albania,11800,24.5,17.6,0.764,0,0,0,0,1,0,0,0
86,Saint Lucia,11800,41.2,26.9,0.735,0,0,0,0,0,0,1,0
87,Indonesia,11700,23.7,5.7,0.6890000000000001,0,0,1,0,0,0,0,0
88,Tunisia,11600,23.5,27.1,0.725,0,1,0,0,0,0,0,0
89,Dominica,11300,21.8,25.8,0.726,0,0,0,0,0,0,1,0
90,Saint Vincent and the Grenadines,11300,32.4,24.3,0.722,0,0,0,0,0,0,1,0
91,Namibia,11300,31.8,18.9,0.64,1,0,0,0,0,0,0,0
92,Ecuador,11100,25.2,18.7,0.7390000000000001,0,0,0,0,0,0,1,0
93,Bosnia and Herzegovina,11000,18.1,17.9,0.75,0,0,0,0,1,0,0,0
94,Georgia,10000,20.6,20.8,0.769,0,0,0,1,0,0,0,0
95,Swaziland,9800,36.8,17.7,0.541,1,0,0,0,0,0,0,0
96,Paraguay,9400,24.6,16.3,0.693,0,0,0,0,0,0,1,0
97,Fiji,9300,17.0,36.4,0.736,0,0,1,0,0,0,0,0
98,Jamaica,9000,27.9,27.2,0.73,0,0,0,0,0,0,1,0
99,El Salvador,8900,32.4,21.8,0.68,0,0,0,0,0,0,1,0
100,Libya,8700,38.0,33.1,0.716,0,1,0,0,0,0,0,0
101,Armenia,8600,24.5,19.5,0.743,0,0,0,1,0,0,0,0
102,Ukraine,8300,12.2,20.1,0.743,0,0,0,1,0,0,0,0
103,Morocco,8300,31.1,22.3,0.647,0,1,0,0,0,0,0,0
104,Bhutan,8200,8.7,6.7,0.607,0,0,1,0,0,0,0,0
