,country,GDPper_cap,Adult_Population,Percent_Obese,Population,Insufficiently_active
121,Honduras,5300,6259479,18.2,9265067,32.4
122,Pakistan,5100,133103979,5.4,197015955,26
123,Ghana,4400,19480000,12.2,28833629,15.6
124,Sudan,4400,27384318,7.5,40533330,20.9
125,Mauritania,4300,2986276,9.7,4420184,45.1
126,Timor-Leste,4200,875788,2.2,1296311,25.2
127,Zambia,3900,11548794,8.9,17094130,20.5
128,Bangladesh,3900,111250884,3.6,164669751,26.8
129,Cambodia,3700,10813230,3.2,16005373,10.3
130,Lesotho,3600,1508844,14.2,2233339,7.2 
131,Kyrgyzstan,3500,4084081,14.4,6045117,13.3
132,Papua New Guinea,3500,5574485,27.9,8251162,14.7
133,Tuvalu,3500,7561,40.3,11192,25.2
134,Djibouti,3400,646539,9.6,956985,31.1
135,Kenya,3400,33577227,7.0,49699862,19.2
136,Marshall Islands,3200,35893,42.8,53127,44.5
137,Cameroon,3200,16250698,11.4,24053727,30.7
138,Sao Tome and Principe,3100,138043,12.3,204327,15.6
139,Tajikistan,3000,6027259,13.6,8921343,24.5
140,Vanuatu,2600,186630,35.4,276244,8.4 
141,Senegal,2600,10708643,9.8,15850567,25
142,Nepal,2500,19798457,3.3,29304998,4.1 
143,Chad,2400,10066436,8.1,14899994,24.6
144,Yemen,2400,19085984,17.2,28250420,31.1
145,Mali,2300,12526962,6.8,18541980,23.7
146,Benin,2100,7550298,9.3,11175692,6.9 
147,Uganda,2100,28958214,4.9,42862958,20.9
148,Rwanda,2000,8248000,4.0,12208407,15.3
149,Solomon Islands,2000,413023,27.7,611343,35.1
150,Zimbabwe,2000,11167603,10.5,16529904,22.4
151,Afghanistan,1900,24004123,2.9,35530081,31.1
152,Ethiopia,1900,70909245,4.0,104957438,18.9
153,Haiti,1800,7418918,11.9,10981229,32.4
154,Burkina Faso,1700,12967049,6.3,19193382,18.4
155,Kiribati,1800,78638,40.6,116398,41.1
156,Sierra Leone,1700,5105652,7.6,7557212,14.2
157,South Sudan,1700,8496152,7.5,12575714,20.9
158,Guinea-Bissau,1700,1257483,7.2,1861283,20.9 
159,Gambia,1700,1419144,10.9,2100568,21.5
160,Togo,1600,5268122,7.5,7797694,10.4
161,Comoros,1500,549879,6.6,813912,14.2
162,Madagascar,1500,17275697,5.4,25570895,17.9
163,Eritrea,1400,3424502,4.1,5068831,10.7
164,Guinea,1300,8591724,6.8,12717176,9.9 
165,Mozambique,1200,20044264,5.3,29668834,5.8 
166,Malawi,1100,12581093,5.3,18622104,7.5 
167,Niger,1100,14510096,4.3,21477348,25.1
168,Liberia,900,3196876,6.6,4731906,27.5
169,Burundi,800,7339884,2.6,10864245,20.9
170,Democratic Republic of the Congo,800,54953296,4.4,81339988,26
171,Central African Republic,700,3147674,5.1,4659080,12
172,Somalia,400,9960049,4.6,14742523,20.4
