,country,GDPper_cap,Adult_Population,Insufficiently_active,Percent_Obese
140,Vanuatu,2600,186630,8.4,35.4
141,Senegal,2600,10708643,25.0,9.8
142,Nepal,2500,19798457,4.1,3.3
143,Chad,2400,10066436,24.6,8.1
144,Yemen,2400,19085984,31.1,17.2
145,Mali,2300,12526962,23.7,6.8
146,Benin,2100,7550298,6.9,9.3
147,Uganda,2100,28958214,20.9,4.9
148,Rwanda,2000,8248000,15.3,4.0
149,Solomon Islands,2000,413023,35.1,27.7
150,Zimbabwe,2000,11167603,22.4,10.5
151,Afghanistan,1900,24004123,31.1,2.9
152,Ethiopia,1900,70909245,18.9,4.0
153,Haiti,1800,7418918,32.4,11.9
154,Burkina Faso,1700,12967049,18.4,6.3
155,Kiribati,1800,78638,41.1,40.6
156,Sierra Leone,1700,5105652,14.2,7.6
157,South Sudan,1700,8496152,20.9,7.5
158,Guinea-Bissau,1700,1257483,20.9,7.2
159,Gambia,1700,1419144,21.5,10.9
160,Togo,1600,5268122,10.4,7.5
161,Comoros,1500,549879,14.2,6.6
162,Madagascar,1500,17275697,17.9,5.4
163,Eritrea,1400,3424502,10.7,4.1
164,Guinea,1300,8591724,9.9,6.8
165,Mozambique,1200,20044264,5.8,5.3
166,Malawi,1100,12581093,7.5,5.3
167,Niger,1100,14510096,25.1,4.3
168,Liberia,900,3196876,27.5,6.6
169,Burundi,800,7339884,20.9,2.6
170,Democratic Republic of the Congo,800,54953296,26.0,4.4
171,Central African Republic,700,3147674,12.0,5.1
172,Somalia,400,9960049,20.4,4.6
173,Russia,26500,0,

