,Unnamed: 0,Country,Percent_Obese,GDPper_cap,Insufficiently_active,Education,Region_Africa,Region_Arab_States,Region_Europe,Region_Asia,Region_Oceania,Region_Latin_America,Region_CIS,Globalization_index,Urbanization_Rate,Urban_Population,Imports,log(Imports),log(Imports)*Asia,Asia*Urbanization,UrbanPop*ArabStates,Asia*Globalization,Urbanization*GDPpercap,Europe*GDPpercap,log(GDPper_cap),Asia*UrbanPop,ArabStates*Globalization
27,27,Italy,21.0,36800,33.2,0.79,0,0,1,0,0,0,0,82.15,0.39,69.0,372200000000.0,26.64269718115456,0.0,0.0,0.0,0.0,4.100168718421239,36800,10.513253124157023,0.0,0.0
28,28,Spain,23.7,36400,30.5,0.794,0,0,1,0,0,0,0,84.53,0.52,79.6,287900000000.0,26.385879034564542,0.0,0.0,0.0,0.0,5.461208507884913,36400,10.502324053624832,0.0,0.0
29,29,Israel,25.3,35200,31.1,0.8540000000000001,0,0,1,0,0,0,0,75.73,1.37,92.1,57900000000.0,24.781983221525362,0.0,0.0,0.0,0.0,14.342257865373078,35200,10.468801361586188,0.0,0.0
30,30,Cyprus,23.8,35000,34.7,0.7759999999999999,0,0,1,0,0,0,0,75.6,0.89,66.9,6042000000.0,22.52200091991089,0.0,0.0,0.0,0.0,9.312161973019679,35000,10.46310334047155,0.0,0.0
31,31,Slovenia,25.1,32100,21.3,0.863,0,0,1,0,0,0,0,79.76,0.08,49.6,25520000000.0,23.962728295423002,0.0,0.0,0.0,0.0,0.8301289047294487,32100,10.376611309118108,0.0,0.0
32,32,Trinidad and Tobago,31.1,31900,41.5,0.7,0,0,0,0,0,1,0,64.66,-1.2,8.4,8.4,2.128231705849268,0.0,-0.0,0.0,0.0,-12.444433546527522,0,10.370361288772935,0.0,0.0
33,33,Lithuania,25.9,30000,18.4,0.877,0,0,1,0,0,0,0,78.78,-0.53,66.5,25920000000.0,23.978280708430486,0.0,-0.0,0.0,0.0,-5.463744910141475,30000,10.308952660644293,0.0,0.0
34,34,Estonia,22.6,29300,11.9,0.8590000000000001,0,0,1,0,0,0,0,81.97,-0.45,67.5,13460000000.0,23.322988161162993,0.0,-0.0,0.0,0.0,-4.6284042577523214,29300,10.285342795005159,0.0,0.0
35,35,Portugal,20.1,28900,34.9,0.728,0,0,1,0,0,0,0,82.21,0.97,63.5,61700000000.0,24.845549767857754,0.0,0.0,0.0,0.0,9.963448967877508,28900,10.271596874100524,0.0,0.0
36,36,Poland,25.2,27800,18.7,0.825,0,0,1,0,0,0,0,78.72,-0.1,60.5,189500000000.0,25.96765486146889,0.0,-0.0,0.0,0.0,-1.023279129967873,27800,10.232791299678729,0.0,0.0
37,37,Seychelles,26.3,27600,20.8,0.636,1,0,0,0,0,0,0,64.21,1.14,53.9,873700000.0,20.588247625268323,0.0,0.0,0.0,0.0,11.657150998943974,0,10.225571051705241,0.0,0.0
38,38,Hungary,24.0,27500,18.1,0.805,0,0,1,0,0,0,0,84.2,0.47,71.2,86610000000.0,25.184681119289365,0.0,0.0,0.0,0.0,4.804312403317692,27500,10.221941283654663,0.0,0.0
39,39,Malaysia,13.3,27300,52.3,0.6709999999999999,0,0,0,1,0,0,0,79.28,2.66,74.7,139500000000.0,25.66133043820783,25.66133043820783,2.66,0.0,79.28,27.170947669920317,0,10.21464198117305,74.7,0.0
40,40,Greece,22.9,26700,12.9,0.797,0,0,1,0,0,0,0,80.31,0.47,78.0,42730000000.0,24.478167086602344,0.0,0.0,0.0,0.0,4.79043685686252,26700,10.19241884438834,0.0,0.0
41,41,Latvia,23.7,25700,22.0,0.813,0,0,1,0,0,0,0,75.42,-0.67,67.4,13600000000.0,23.333335629688417,0.0,-0.0,0.0,0.0,-6.803345001491818,25700,10.154246270883311,0.0,0.0
